"Sex" "Age" "Income" "Party"
1 38 4 2
1 39 2 1
1 63 4 3
1 67 2 7
1 63 5 7
2 31 5 6
2 78 2 7
2 33 2 2
1 55 4 1
1 74 2 7
1 28 3 2
2 68 1 2
1 48 3 3
2 34 3 4
1 50 3 1
1 42 3 2
1 38 2 6
2 75 2 1
2 33 3 6
1 59 2 6
1 59 1 6
2 24 2 6
1 40 3 2
1 44 4 2
2 44 4 2
1 52 3 2
2 66 5 1
1 27 3 2
2 39 3 7
2 56 4 4
2 31 2 1
1 53 2 1
1 51 4 1
1 46 4 3
2 34 3 1
1 28 4 3
2 31 3 4
1 32 4 5
2 39 4 1
1 56 1 1
2 37 1 4
1 46 4 7
2 74 1 6
2 36 3 2
1 57 4 4
2 51 4 1
2 28 4 1
1 27 4 3
2 25 5 2
2 28 3 2
2 32 4 5
2 34 4 5
2 40 4 4
2 52 3 6
1 74 3 1
1 72 4 3
1 80 4 3
1 55 4 1
1 65 5 7
2 64 4 7
2 56 2 1
1 39 3 1
1 50 4 2
1 36 4 4
1 66 4 1
1 71 5 7
2 68 1 6
2 29 3 7
1 40 3 2
2 80 1 2
1 39 2 2
2 55 4 1
1 37 4 2
1 32 4 2
1 37 4 4
1 45 4 2
2 34 2 2
1 37 4 1
1 38 3 7
1 55 4 7
2 67 3 2
2 83 1 6
2 52 2 1
1 59 4 1
2 32 4 1
2 60 3 2
1 26 4 6
2 73 2 7
1 87 2 1
2 64 3 2
2 42 3 2
1 68 2 1
2 34 3 2
2 44 5 7
2 71 2 2
1 76 4 1
1 65 4 6
2 23 4 3
1 79 2 6
1 40 4 1
2 67 2 7
2 43 4 2
2 31 3 2
2 27 4 2
1 37 4 2
2 55 3 2
2 33 2 2
2 59 3 1
2 27 4 2
2 47 3 4
2 44 3 6
2 28 3 6
2 53 1 2
2 53 2 2
1 64 3 6
2 41 3 2
2 34 2 7
2 37 4 6
1 61 1 1
1 71 2 1
2 46 3 5
1 79 1 7
1 33 4 2
2 56 4 7
1 71 2 1
1 74 3 2
2 80 1 7
1 44 3 6
2 66 2 2
1 33 4 2
1 46 4 2
2 35 4 7
2 57 3 6
1 72 1 1
1 67 3 7
2 71 1 1
2 40 4 6
1 49 4 2
2 27 3 7
1 42 4 1
1 49 3 2
1 32 4 1
2 50 2 1
1 62 3 3
1 58 3 1
2 60 2 5
2 31 3 2
2 49 4 4
1 58 4 3
2 35 4 2
2 31 3 6
2 38 3 1
1 34 4 2
1 45 3 2
1 65 2 2
1 37 4 7
1 50 3 1
1 55 4 7
1 80 1 7
1 81 1 7
2 44 5 5
2 34 5 7
2 49 4 6
2 65 4 7
1 65 4 6
1 51 2 2
1 50 3 1
1 48 1 2
1 75 1 1
2 38 4 1
2 51 4 7
1 37 3 2
2 31 3 6
1 37 4 4
2 37 4 2
2 32 4 7
2 54 2 6
1 83 1 1
2 44 1 2
2 56 4 6
2 39 4 6
2 72 2 3
2 33 4 7
2 28 3 7
2 51 3 1
2 44 3 2
2 37 3 5
1 54 4 1
2 22 3 4
1 45 4 4
1 41 4 6
1 37 4 7
2 29 4 6
2 47 4 2
2 49 4 1
1 28 3 1
2 53 4 2
2 45 4 2
1 42 4 2
1 58 3 1
2 55 3 5
2 43 4 2
1 56 1 2
2 46 4 1
1 51 4 2
1 36 4 3
2 78 3 7
2 45 3 3
1 63 3 4
1 48 4 6
2 48 4 7
1 47 5 2
1 46 2 6
2 72 1 1
1 58 1 5
2 31 4 2
2 31 3 5
1 47 3 1
2 56 4 7
1 45 4 1
2 34 4 2
1 54 4 4
2 28 4 4
2 45 4 7
1 40 4 1
2 82 1 2
2 36 3 2
2 41 4 3
2 55 3 1
2 30 4 7
2 59 3 1
2 38 4 6
1 42 3 2
2 59 2 2
1 67 2 7
2 42 3 1
2 38 2 6
1 52 4 3
1 31 4 2
1 55 4 7
1 29 3 3
2 43 5 1
2 43 3 6
2 28 3 1
2 59 3 1
1 39 3 2
1 47 3 7
2 50 4 4
2 58 4 5
2 63 3 1
2 26 2 1
2 31 3 1
1 44 2 1
2 72 1 6
2 35 3 2
1 20 1 2
2 58 2 2
1 35 5 1
1 66 1 7
2 63 1 1
1 52 1 1
1 62 2 1
1 66 1 1
1 70 1 7
2 51 1 6
1 62 3 6
2 75 1 7
1 42 4 3
2 72 2 1
2 60 5 2
1 65 4 6
1 58 5 5
1 37 5 6
1 51 4 7
2 49 3 2
2 41 4 2
1 36 4 4
1 40 4 4
2 30 4 2
1 40 4 4
1 31 4 3
1 63 4 6
1 45 4 2
2 45 3 3
2 77 1 4
1 54 4 4
2 52 3 4
2 61 4 2
2 67 1 2
2 26 2 1
1 48 4 2
1 50 3 1
2 36 4 1
1 31 4 1
2 24 3 3
2 26 4 2
2 62 3 1
1 53 3 1
1 50 4 1
1 60 3 2
2 47 4 6
2 31 4 5
2 34 3 6
2 44 2 1
2 42 2 3
1 69 3 6
2 73 2 7
1 44 4 6
2 52 1 7
2 66 4 7
2 56 5 7
2 49 4 6
2 31 3 7
1 71 1 1
1 76 1 1
1 59 3 1
2 81 1 1
2 42 4 1
2 47 4 7
1 49 4 3
2 43 3 4
1 63 4 3
2 56 1 1
2 48 4 7
2 47 4 1
2 51 4 7
2 37 4 7
2 39 4 2
2 53 3 5
2 37 4 1
1 42 5 6
1 46 3 4
2 70 5 1
2 54 4 1
2 47 4 6
2 38 4 1
2 37 3 1
1 61 3 6
2 70 2 1
2 72 2 6
1 49 2 6
1 56 1 4
1 39 5 5
2 37 2 2
2 38 4 3
2 28 3 2
2 61 2 6
1 56 4 6
2 61 2 1
2 51 1 1
1 48 3 2
1 32 4 7
1 40 4 7
2 38 4 3
2 45 2 2
2 68 2 6
2 48 2 2
2 47 3 2
1 46 5 3
1 42 5 5
1 47 3 1
2 35 4 5
2 46 3 7
1 55 3 7
2 69 2 7
2 56 3 2
1 48 2 4
2 44 3 1
1 43 2 6
1 55 1 7
2 40 2 4
2 42 1 1
1 53 2 2
1 53 4 1
2 51 3 4
2 50 4 6
1 32 4 7
2 40 4 6
1 49 3 1
2 53 4 1
1 55 3 1
2 46 3 1
2 74 1 7
1 54 4 6
2 40 4 1
2 54 4 1
2 33 4 2
2 38 3 7
1 52 3 3
2 49 4 4
2 60 4 2
1 72 1 7
2 65 1 7
2 65 4 1
1 74 1 1
1 52 4 2
1 51 4 1
2 31 4 2
2 27 2 1
1 54 5 1
1 42 4 3
1 41 4 4
1 25 2 6
2 54 3 6
1 34 4 6
2 60 3 1
1 65 3 1
2 38 2 6
1 45 2 4
1 52 4 4
2 68 1 6
2 43 2 1
2 61 5 5
1 65 3 6
1 41 1 6
2 56 2 2
1 53 4 6
2 36 4 1
1 48 4 2
1 30 3 7
2 50 2 2
1 51 2 5
2 71 1 6
2 52 4 6
1 40 4 3
1 49 4 2
2 51 3 1
1 36 4 1
1 40 4 5
2 62 4 1
1 64 3 7
2 25 3 4
2 24 1 2
2 46 3 5
2 48 2 2
1 34 4 6
1 53 3 1
1 57 3 2
1 57 4 7
2 52 2 6
2 79 1 1
2 54 2 3
1 60 3 1
2 45 3 1
1 45 3 7
2 72 1 1
1 34 4 3
2 45 5 4
1 51 5 5
2 53 4 7
1 60 3 7
2 34 4 1
1 43 4 7
2 48 4 7
1 44 4 2
2 45 3 6
2 53 3 1
2 39 2 6
1 46 4 7
1 43 4 2
2 36 3 2
1 64 4 1
1 40 4 7
2 34 3 1
2 37 3 4
1 46 3 5
2 64 3 6
2 46 4 4
1 34 2 2
2 36 4 5
2 49 4 1
2 55 4 7
1 60 1 6
2 75 1 1
2 57 4 1
2 32 3 4
2 44 1 1
1 52 3 3
2 43 4 2
1 51 5 6
1 29 4 1
2 46 4 6
2 57 3 7
2 70 1 1
2 41 4 6
1 38 4 4
1 30 2 4
2 38 4 5
2 46 4 4
1 42 4 6
1 37 2 4
1 43 4 7
2 35 3 2
1 40 4 3
2 77 1 6
2 46 5 6
2 44 5 7
2 62 2 7
2 37 4 2
1 59 3 4
1 33 2 1
2 59 4 2
2 43 4 5
2 30 2 1
1 36 3 1
1 74 2 2
1 38 3 6
2 48 3 4
2 40 3 2
1 54 4 2
1 50 4 2
1 49 5 7
1 33 3 1
1 27 3 7
2 42 5 7
2 58 4 1
2 30 4 4
2 40 3 4
2 34 4 1
1 38 3 4
2 42 3 7
1 39 3 5
1 53 4 6
1 47 4 2
1 37 3 4
2 45 4 4
1 41 2 1
1 36 4 3
1 49 4 6
2 44 3 2
1 44 4 4
2 31 4 2
2 54 4 5
2 71 3 7
2 52 4 7
1 65 1 7
2 45 3 1
2 35 4 1
1 29 3 6
2 62 2 6
1 38 3 1
1 36 3 4
1 66 4 1
2 45 4 7
2 40 4 7
1 51 3 2
1 39 4 2
2 45 4 7
1 36 3 6
1 30 4 5
2 48 3 1
1 59 4 3
1 32 4 6
1 59 2 1
2 65 1 6
1 36 3 6
1 48 3 1
2 55 4 7
1 52 4 2
1 34 4 5
1 38 4 1
1 39 3 7
1 49 2 2
1 29 3 1
2 43 3 4
1 40 4 5
1 47 4 6
1 76 3 7
1 36 4 7
1 34 3 3
2 58 3 6
2 42 2 1
1 30 4 6
2 43 4 2
1 50 3 4
2 40 4 4
2 33 4 2
2 43 3 1
1 43 4 6
1 46 5 7
2 52 3 1
2 38 4 2
1 58 3 6
1 67 2 7
2 43 1 4
2 54 4 6
1 55 1 6
1 44 3 5
1 72 2 2
2 42 2 2
2 27 3 6
1 55 3 6
1 54 3 2
2 44 4 1
2 46 4 2
1 45 4 1
1 42 3 1
2 45 4 1
1 32 4 7
1 42 4 2
1 56 3 4
1 77 1 1
1 34 4 6
1 34 3 4
1 40 4 2
1 42 3 1
2 65 1 7
1 60 1 2
2 73 3 7
1 52 4 3
2 39 2 5
2 28 2 7
1 42 4 2
2 56 4 2
1 36 3 1
1 60 2 7
1 32 3 2
1 36 4 2
2 46 3 6
1 37 3 6
1 60 4 2
1 40 2 1
2 36 3 2
2 45 3 2
1 45 4 1
2 26 3 3
1 59 4 2
2 34 4 2
1 31 4 3
2 42 3 2
1 38 3 2
1 76 2 1
2 68 4 2
1 45 4 2
1 76 1 2
1 45 4 7
1 44 4 2
1 66 1 4
1 77 5 7
1 39 4 5
1 40 4 4
1 69 4 7
2 37 1 1
2 60 1 1
2 63 2 2
2 56 1 2
2 46 3 4
2 34 3 1
1 38 3 6
1 66 2 2
2 83 1 6
1 49 4 1
1 56 2 2
2 45 3 2
2 43 3 2
2 40 4 4
1 32 3 1
2 42 3 2
2 25 1 1
2 46 3 7
1 33 3 2
1 28 4 4
2 73 1 7
2 36 4 5
1 29 2 5
2 28 3 1
2 27 3 1
1 34 3 1
2 43 4 3
1 72 2 4
2 23 3 2
2 36 4 7
2 60 3 1
2 51 4 1
1 49 4 3
1 61 3 1
2 57 1 2
2 34 3 4
2 56 1 6
1 61 1 7
1 43 4 5
2 72 1 6
2 28 4 2
2 31 2 4
2 74 2 7
1 56 2 2
2 28 3 2
2 36 3 2
1 30 3 7
2 55 3 7
1 61 3 5
2 40 5 7
1 29 4 2
2 24 4 6
2 33 1 1
1 30 3 4
2 21 1 7
2 26 4 7
2 36 4 5
2 36 5 6
1 58 2 2
1 75 1 2
1 40 4 7
2 24 3 7
1 54 3 6
1 25 2 7
1 43 4 5
1 23 3 5
1 27 4 6
1 55 2 1
1 57 3 6
1 33 4 1
2 37 3 2
1 76 1 1
2 56 1 1
2 28 4 1
2 37 4 4
1 42 4 6
2 49 1 2
2 21 2 2
1 45 2 1
2 48 3 6
2 50 2 7
2 62 3 7
1 27 3 5
1 26 3 2
2 66 1 6
2 66 1 7
2 57 2 7
1 50 5 5
2 38 4 2
1 29 3 4
1 36 4 2
1 39 4 6
1 43 3 7
2 45 2 4
1 28 4 6
1 52 4 2
2 35 3 7
1 27 4 3
1 44 2 3
2 37 4 2
1 78 1 7
1 37 1 4
1 27 4 6
1 55 5 4
2 34 2 6
2 44 4 5
2 52 4 1
2 67 3 2
1 50 4 4
2 28 3 7
2 45 2 7
1 53 3 6
1 58 4 7
2 41 4 7
1 31 3 2
2 34 4 3
2 36 4 2
1 25 2 2
1 35 4 1
1 48 4 6
1 50 1 7
1 25 4 4
1 40 2 2
1 46 3 3
1 65 4 4
1 53 4 2
2 22 2 2
2 46 3 7
2 66 1 2
2 56 1 2
2 64 5 7
2 59 2 1
2 48 2 2
2 70 4 4
2 35 4 1
1 36 4 3
1 43 4 3
2 28 5 2
1 39 4 2
1 61 4 5
1 30 4 7
1 35 3 2
1 70 2 6
1 35 3 3
