"Sex" "Age" "Income" "Party"
2 54 2 2
1 65 1 1
2 33 3 3
2 56 1 6
2 75 1 6
1 53 4 3
2 50 3 5
2 30 3 7
2 21 2 6
1 60 5 6
2 72 1 1
2 55 3 7
1 31 3 5
1 28 3 2
2 64 1 3
1 43 3 5
1 45 4 3
2 28 2 2
2 65 2 6
2 30 3 1
1 41 4 6
2 26 3 2
1 59 3 3
1 30 4 6
1 48 4 5
2 69 2 1
2 61 4 1
2 67 2 2
2 19 3 2
2 60 1 3
1 64 3 2
2 77 1 1
1 28 3 6
2 18 3 6
1 52 5 7
1 65 1 1
1 66 4 5
1 37 3 4
2 22 4 2
2 51 3 7
2 36 3 2
1 36 4 7
2 62 1 1
2 74 2 7
2 33 2 2
2 54 4 2
2 18 2 4
1 55 3 1
1 52 4 2
2 67 2 4
2 57 3 1
2 53 3 2
1 27 4 4
1 57 2 4
1 59 3 5
1 54 4 1
2 24 3 6
2 42 4 3
1 62 4 6
1 26 3 1
1 48 1 1
1 59 1 1
1 54 3 2
1 28 2 6
1 57 4 1
2 76 2 3
1 27 3 4
2 29 3 1
2 47 2 2
2 35 4 2
2 77 2 1
2 43 3 7
2 28 4 7
2 28 2 2
1 62 1 1
1 80 3 5
2 42 4 7
2 49 4 3
2 27 3 3
2 68 1 5
1 67 3 3
1 55 4 7
2 74 3 6
2 64 1 2
1 55 3 3
1 53 5 5
1 50 4 7
1 35 1 5
2 24 3 4
1 65 2 3
1 39 4 6
1 57 1 3
1 43 3 7
1 59 3 7
2 54 2 1
1 25 2 6
1 32 3 4
2 28 4 6
1 23 3 3
1 55 3 1
1 79 2 1
1 34 1 2
2 43 3 5
2 54 4 5
2 76 1 1
2 50 4 6
2 54 3 1
1 70 1 3
1 61 3 6
1 63 3 1
1 29 2 3
2 30 3 5
2 25 2 2
1 83 4 7
2 66 4 2
1 70 1 2
1 19 3 2
1 80 5 7
2 23 3 3
1 27 3 2
1 23 2 6
1 61 3 6
2 23 3 2
2 44 4 2
1 19 3 3
1 43 4 6
1 29 1 3
1 46 3 1
1 29 3 1
2 79 3 6
2 46 5 3
1 60 3 2
2 27 3 4
2 64 4 3
2 43 4 6
2 27 3 5
2 61 1 1
2 51 3 1
1 30 4 4
1 57 1 6
2 70 3 7
2 39 2 2
1 60 4 1
2 47 2 5
1 46 3 1
2 31 4 3
1 64 3 2
1 28 4 1
1 58 1 1
1 38 3 7
2 50 3 5
2 27 2 4
1 20 4 4
2 39 2 4
2 80 1 2
2 65 3 2
2 54 4 2
1 50 4 5
2 22 5 7
2 40 3 4
1 43 4 7
2 59 2 1
2 33 1 4
2 18 1 1
2 65 2 7
2 72 1 7
2 26 4 3
2 52 3 2
2 37 5 2
2 50 5 2
1 72 4 6
1 22 2 5
1 28 3 2
2 45 1 1
2 35 4 3
2 18 4 6
1 46 3 4
2 31 4 2
1 68 1 4
2 42 4 3
1 58 4 3
2 63 1 2
2 49 3 2
2 36 2 1
2 27 3 2
2 82 1 2
2 55 4 1
1 38 5 5
2 39 3 5
1 53 4 5
1 28 4 1
1 53 3 6
2 40 4 7
2 32 3 1
2 53 4 1
1 37 2 1
2 70 1 1
2 65 2 5
2 86 1 3
2 27 3 7
1 36 4 2
2 19 1 2
1 22 4 6
1 40 3 6
2 71 1 1
2 26 3 2
2 40 4 5
1 38 5 6
2 59 1 1
1 60 3 1
1 44 2 7
2 61 3 2
2 81 1 5
1 23 4 5
1 22 1 3
1 43 4 6
2 28 1 7
2 35 3 5
2 64 3 5
2 21 4 1
1 57 2 1
1 57 5 7
2 23 3 6
2 42 3 2
1 24 3 7
1 63 4 7
1 40 4 5
1 38 5 7
2 38 2 2
2 33 3 4
2 28 5 6
1 40 3 5
2 46 2 1
1 28 2 6
1 67 3 2
2 31 4 3
2 33 3 2
2 42 5 7
1 50 4 2
1 77 1 1
1 59 1 1
1 41 2 2
2 18 3 1
2 59 1 1
1 32 4 1
2 31 4 2
2 32 3 3
2 63 1 6
2 25 2 1
2 34 3 1
2 24 4 7
2 22 1 6
1 36 3 7
1 28 3 2
2 38 4 3
2 33 2 6
2 20 1 5
2 59 1 1
2 51 4 5
1 34 4 6
2 47 4 1
1 52 5 3
2 54 4 5
2 50 2 5
2 23 3 1
2 48 1 7
2 59 1 2
2 67 3 6
2 46 3 2
1 52 3 6
1 28 3 7
2 38 4 5
1 49 5 5
1 42 3 4
1 54 3 1
2 31 1 5
1 23 4 5
1 34 2 1
1 71 2 3
2 24 2 3
1 41 4 6
2 22 1 4
1 32 3 4
2 39 3 6
1 40 3 4
1 30 4 4
1 64 2 2
2 23 1 1
2 82 2 2
2 24 2 3
2 41 4 1
2 65 3 7
1 75 1 1
2 32 2 5
2 54 5 5
1 18 5 4
2 32 4 7
2 70 1 7
2 45 3 4
2 76 2 6
1 37 4 6
2 57 2 2
2 64 1 1
1 67 4 4
1 80 2 7
2 59 3 4
2 22 1 3
1 69 3 2
1 34 4 2
2 35 2 2
2 40 4 5
2 71 1 2
1 27 3 4
2 46 4 6
1 44 5 5
1 36 3 2
1 53 4 3
1 58 3 2
1 32 3 3
1 35 4 4
1 71 4 4
1 24 3 6
2 31 4 6
2 54 3 3
1 27 2 1
1 42 3 2
1 41 3 1
1 21 2 2
2 76 5 4
1 29 5 3
2 72 2 1
1 70 2 6
2 71 3 2
2 36 3 5
1 57 1 4
2 58 3 5
1 30 3 5
2 22 3 2
1 39 4 6
2 22 2 6
2 46 1 5
2 77 1 1
2 62 2 2
1 71 4 2
2 41 4 1
2 38 4 7
2 28 2 1
1 35 3 3
1 69 2 7
1 61 1 1
1 48 4 2
1 66 4 2
1 24 1 1
2 57 1 4
2 30 3 1
2 33 3 2
2 64 3 6
1 61 3 4
2 72 2 1
1 70 3 2
1 22 3 5
2 50 3 1
2 68 1 2
2 34 2 4
2 69 3 6
1 52 5 5
1 57 5 5
2 33 4 6
1 22 4 5
2 22 3 2
1 48 4 5
2 43 4 2
2 48 4 7
2 20 2 5
1 40 3 5
1 42 3 5
1 68 4 6
1 30 2 2
2 70 1 1
1 68 3 4
1 20 1 6
2 53 4 2
2 50 3 4
2 29 4 6
2 27 2 7
1 64 5 3
2 64 1 5
2 21 1 1
2 45 3 1
2 62 4 6
1 38 4 2
1 31 2 2
2 58 4 2
1 22 3 5
1 22 1 1
2 52 2 2
2 23 4 2
2 62 4 1
1 58 3 1
2 33 3 1
1 41 4 3
1 28 4 4
2 53 4 6
1 37 3 4
2 25 4 2
2 36 4 2
1 45 3 1
2 74 2 1
2 23 1 4
2 65 2 7
2 29 3 2
1 35 3 2
2 60 3 6
2 52 2 6
2 52 3 1
2 54 3 2
1 18 4 2
2 48 1 2
2 36 3 2
2 38 2 4
2 65 5 7
1 34 3 2
2 24 1 5
2 49 2 2
1 69 4 2
2 44 3 2
2 29 1 2
2 26 3 7
2 35 4 4
2 41 2 2
2 32 3 3
1 86 1 5
2 34 3 2
2 31 4 2
2 41 4 6
1 81 2 6
1 41 3 7
2 32 2 5
2 57 3 1
2 76 2 5
1 28 1 2
2 57 4 2
1 23 3 4
2 33 3 1
1 24 3 2
2 20 4 5
1 22 2 4
2 67 1 4
1 35 4 2
1 50 3 2
1 28 2 2
1 60 4 1
2 73 2 7
2 80 2 6
2 29 3 7
1 56 3 5
1 26 4 4
1 25 4 5
2 71 3 2
1 26 3 4
1 24 3 5
1 21 2 1
2 65 4 2
2 26 2 3
2 67 2 5
2 57 4 2
2 28 4 3
1 62 3 3
1 27 1 1
1 67 3 3
2 50 3 2
2 66 3 6
2 68 1 1
2 41 4 6
2 32 5 2
1 23 3 4
2 58 3 7
2 73 2 7
1 37 4 1
2 44 4 7
2 57 3 4
2 39 4 7
1 35 4 6
1 21 3 2
2 72 3 2
2 29 4 5
1 37 5 6
1 66 3 1
2 67 2 1
2 43 1 2
2 31 4 2
1 65 4 7
1 33 3 2
2 26 1 7
1 63 1 1
1 50 4 6
2 24 4 3
2 63 2 2
2 75 3 1
2 23 1 3
2 22 1 4
1 58 4 2
1 35 3 3
2 41 3 2
2 25 2 2
1 37 2 1
2 34 4 6
1 23 4 4
2 49 3 2
2 21 3 1
2 26 3 2
2 57 2 1
1 21 4 2
1 19 2 2
2 19 3 5
1 58 3 1
2 77 4 2
1 56 4 7
1 49 3 4
1 34 4 1
2 32 4 5
2 72 5 7
1 60 4 5
1 51 5 6
2 40 1 4
1 42 3 1
1 84 3 5
2 59 4 1
2 34 1 2
1 26 3 6
1 79 2 3
1 53 4 5
2 65 1 1
2 39 4 1
1 57 4 2
2 31 4 2
1 38 4 6
2 65 3 2
2 62 3 2
1 53 1 1
1 61 2 1
2 71 2 2
1 39 4 5
1 29 3 7
2 30 4 1
1 57 4 5
2 53 3 4
2 42 4 6
1 23 2 2
2 43 2 2
2 56 2 2
1 66 1 1
1 54 3 5
1 25 1 6
1 52 3 1
1 82 4 1
1 29 5 3
1 44 3 1
1 72 1 4
2 61 1 1
1 34 3 1
2 26 3 2
2 50 1 1
1 25 3 1
1 40 3 1
2 29 3 3
2 62 3 3
2 82 3 2
1 23 1 3
2 23 4 5
1 82 1 1
1 71 1 1
1 26 3 6
2 78 2 2
2 50 4 7
1 36 3 4
1 23 1 3
1 37 3 2
2 48 3 2
1 39 5 7
2 51 1 3
1 62 2 1
2 67 1 7
2 43 4 3
1 59 1 7
2 29 4 2
1 35 4 1
2 61 5 6
2 78 1 7
2 67 4 3
1 26 1 2
2 58 4 7
2 49 4 1
2 30 3 2
1 20 2 4
1 58 3 3
2 38 2 2
1 85 1 6
2 74 1 1
1 71 1 1
1 34 4 1
1 26 3 3
2 44 4 6
1 35 4 5
2 41 4 1
2 64 3 2
2 32 3 4
1 32 3 5
2 45 5 5
2 23 3 4
2 37 4 2
2 26 4 2
2 63 2 5
1 21 3 6
2 33 3 6
1 38 4 2
1 28 3 7
2 37 5 1
2 40 4 7
1 57 3 3
1 26 3 6
2 70 3 7
2 31 3 2
1 48 3 6
2 40 4 1
2 68 2 6
2 58 3 2
2 76 2 1
1 55 3 1
1 25 3 3
1 90 1 1
1 57 4 2
2 25 4 2
2 30 3 1
1 20 1 3
1 35 3 2
2 46 1 1
1 57 4 2
1 38 3 5
1 34 3 5
2 69 3 1
2 37 3 2
1 38 3 2
2 57 3 3
1 28 4 5
1 31 4 4
1 19 2 4
2 18 4 2
2 37 3 6
2 22 3 6
2 51 3 2
2 44 4 2
2 67 3 5
2 40 2 3
1 23 2 4
1 35 1 7
1 63 3 7
2 33 2 5
1 32 4 6
2 64 4 2
1 52 4 4
1 45 5 2
2 38 3 6
2 41 4 7
2 27 3 3
2 28 4 2
1 32 4 2
1 33 3 6
1 59 3 6
2 27 5 4
2 68 3 1
2 59 1 1
1 25 4 1
2 30 1 1
1 27 4 7
2 52 3 7
1 19 1 4
2 54 3 6
2 26 3 6
1 22 3 4
1 38 4 5
1 32 4 1
2 34 4 2
1 51 4 6
1 59 3 4
2 54 4 7
2 34 3 4
2 51 5 6
2 51 3 6
2 36 2 2
1 25 3 4
2 58 3 5
2 75 2 7
2 33 3 3
2 31 3 5
1 49 4 2
2 27 4 4
2 31 4 6
2 51 2 2
2 38 2 6
2 71 1 7
1 23 3 6
1 49 4 7
2 48 3 5
1 59 3 4
2 73 2 6
1 21 2 3
1 24 4 5
2 50 3 6
1 38 5 4
1 26 2 5
1 39 3 6
1 41 3 6
2 59 2 6
2 63 1 2
2 36 3 2
2 45 3 1
2 28 3 6
2 43 3 2
2 20 3 3
2 83 3 5
2 47 3 6
1 20 1 5
1 35 2 6
2 60 2 4
1 40 3 1
1 40 4 7
2 65 4 6
2 21 1 5
1 68 2 2
2 33 4 6
1 78 2 2
2 71 2 3
1 43 2 4
2 35 3 7
1 20 4 7
2 38 4 2
2 72 1 2
2 72 1 2
1 49 4 6
1 56 3 5
1 19 4 2
2 54 3 6
1 63 3 1
2 56 3 6
2 84 2 3
2 29 4 2
1 77 1 1
2 47 2 2
2 72 2 2
2 46 4 6
1 26 3 5
2 53 2 1
1 59 3 1
2 51 3 7
1 22 3 7
2 69 1 2
2 79 2 6
1 40 3 3
2 30 3 1
2 28 1 2
1 52 5 7
1 60 4 1
2 75 1 1
2 64 4 1
1 37 4 4
1 30 4 1
1 63 4 1
1 53 4 1
1 31 3 2
1 38 3 3
2 33 1 1
1 65 3 7
2 48 4 6
2 57 3 1
1 36 3 3
2 31 1 1
2 50 5 2
2 80 1 7
2 51 4 2
2 32 3 2
1 46 3 7
2 40 3 3
2 34 4 1
2 33 4 1
2 27 3 6
2 30 5 7
1 62 2 2
1 33 5 6
1 46 4 5
1 53 3 4
2 68 2 1
1 56 3 1
2 35 4 7
1 67 1 1
2 36 1 1
1 71 3 1
2 52 1 1
1 19 3 2
2 29 2 3
2 59 1 1
1 36 3 2
1 61 4 2
2 27 2 3
2 71 2 2
2 59 1 1
1 33 4 2
2 40 3 3
2 34 4 1
2 33 4 1
2 27 3 6
2 30 5 7
1 62 2 2
1 33 5 6
1 46 4 5
1 53 3 4
2 68 2 1
1 56 3 1
2 35 4 7
